,Title,Artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Cluster
41,Hey Jude - Remastered,The Beatles,0.39399999999999996,0.5660000000000001,-9.435,0.0261,0.0304,3.64e-05,0.10099999999999999,0.631,148.029,429933,2
42,Losing My Religion,R.E.M.,0.672,0.841,-5.992000000000001,0.0285,0.0767,0.0,0.135,0.82,125.43700000000001,267733,0
43,Waterloo Sunset - Stereo,The Kinks,0.517,0.6920000000000001,-7.273,0.0246,0.253,0.0,0.172,0.47600000000000003,107.958,193293,2
44,Light My Fire,The Doors,0.413,0.725,-5.787000000000001,0.0324,0.369,2.1600000000000003e-05,0.0905,0.44,124.618,429760,2
45,Crazy In Love (feat. Jay-Z),Beyoncé,0.6459999999999999,0.77,-6.596,0.226,0.00249,0.0,0.0715,0.6809999999999999,99.165,236133,4
46,I Want You Back,The Jackson 5,0.639,0.5479999999999999,-13.534,0.0394,0.29,9.68e-05,0.366,0.887,98.359,176333,0
47,Whole Lotta Love - Remaster,Led Zeppelin,0.401,0.893,-11.171,0.43700000000000006,0.0617,0.0391,0.16399999999999998,0.406,87.979,334555,4
48,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,0.523,0.769,-5.855,0.0269,0.04,0.0,0.136,0.8759999999999999,136.162,244587,0
49,Crazy,Gnarls Barkley,0.855,0.5870000000000001,-4.5889999999999995,0.0336,0.0505,0.0071400000000000005,0.105,0.64,111.97,177466,0
50,Space Oddity - 2009 Remastered Version,David Bowie,0.337,0.365,-15.091,0.0318,0.0788,3.84e-05,0.20199999999999999,0.49700000000000005,136.264,317027,1
51,Walk on the Wild Side,Lou Reed,0.564,0.262,-19.746,0.105,0.652,0.000204,0.0896,0.376,104.5,253960,1
52,I Feel Love,Donna Summer,0.639,0.659,-16.098,0.0491,0.0166,0.633,0.11599999999999999,0.92,126.436,201735,5
53,Mr. Tambourine Man,The Byrds,0.456,0.47,-9.564,0.0294,0.513,3.76e-05,0.444,0.639,120.336,149467,3
54,Take Me Out,Franz Ferdinand,0.273,0.665,-8.795,0.0382,0.000458,0.000893,0.11699999999999999,0.514,104.656,239027,2
55,Jumpin' Jack Flash,The Rolling Stones,0.575,0.909,-8.003,0.0654,0.0582,0.23800000000000002,0.0724,0.693,137.335,222280,2
56,River Deep - Mountain High,Ike & Tina Turner,0.324,0.6409999999999999,-11.12,0.0451,0.18899999999999997,8.47e-05,0.109,0.308,83.90100000000001,219133,2
57,Paranoid Android,Radiohead,0.32799999999999996,0.762,-8.651,0.0476,0.0342,0.008759999999999999,0.198,0.27399999999999997,125.75,383507,2
58,Loser,Beck,0.595,0.617,-10.455,0.11699999999999999,0.0343,0.000135,0.38299999999999995,0.823,85.387,234960,0
59,You've Lost That Lovin' Feelin' - Single Version,The Righteous Brothers,0.35700000000000004,0.389,-9.702,0.0269,0.569,0.0,0.099,0.324,94.211,224000,1
60,That'll Be the Day,The Crickets,0.654,0.523,-8.052999999999999,0.0349,0.8,0.0,0.285,0.851,126.819,136853,0
61,Blitzkrieg Bop - 2001 Remaster,Ramones,0.535,0.784,-5.073,0.0484,0.00557,0.171,0.0852,0.9620000000000001,176.24099999999999,132733,2
62,Bitter Sweet Symphony,The Verve,0.389,0.889,-6.546,0.0442,0.0415,0.0,0.46299999999999997,0.524,171.12099999999998,358427,2
63,Unfinished Sympathy - 2006 Digital Remaster,Massive Attack,0.5920000000000001,0.8909999999999999,-5.6370000000000005,0.0316,0.0145,0.141,0.39399999999999996,0.7170000000000001,114.348,312293,3
64,Hotel California,Eagles,0.55,0.593,-7.619,0.0258,0.00511,0.0012699999999999999,0.106,0.5429999999999999,147.61700000000002,390267,2
65,Layla - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos,0.40399999999999997,0.903,-3.88,0.0668,0.5770000000000001,0.297,0.287,0.498,115.67200000000001,423840,2
66,Once in a Lifetime - 2005 Remaster,Talking Heads,0.644,0.919,-6.289,0.0561,0.18100000000000002,0.134,0.622,0.871,117.459,259907,3
67,House of the Rising Sun,The Animals,0.316,0.484,-9.11,0.0308,0.000334,0.00445,0.0912,0.299,117.363,269907,2
68,All Along the Watchtower,Jimi Hendrix,0.43799999999999994,0.805,-6.237,0.0624,0.00255,5.6899999999999994e-05,0.0842,0.564,113.25299999999999,240800,2
69,Stand by Me,Ben E. King,0.632,0.23199999999999998,-12.325999999999999,0.0318,0.428,4.95e-06,0.215,0.6729999999999999,119.13600000000001,175493,1
70,How Soon Is Now? - 2011 Remaster,The Smiths,0.39799999999999996,0.93,-6.76,0.0615,0.0008539999999999999,0.121,0.0874,0.725,190.81799999999998,408173,2
71,Get Ur Freak On,Missy Elliott,0.78,0.787,-6.653,0.209,0.5329999999999999,0.134,0.122,0.6679999999999999,177.835,237067,4
72,Hound Dog,Elvis Presley,0.355,0.722,-9.338,0.0498,0.7120000000000001,0.00309,0.805,0.946,176.708,136160,3
73,Suspicious Minds,Elvis Presley,0.47700000000000004,0.37799999999999995,-11.225,0.03,0.0377,3.49e-06,0.45299999999999996,0.688,116.39299999999999,260973,3
74,Strange Fruit,Billie Holiday,0.304,0.10400000000000001,-15.835,0.0313,0.963,0.000291,0.177,0.0608,81.02,189360,1
